Локальный идентификатор;Наименование;Долгота в WGS-84;Широта в WGS-84;Станция метрополитена;Линия;Режим работы по чётным дням;Режим работы по нечётным дням;Количество полнофункциональных БПА (все типы билетов);Количество малофункциональных БПА (билеты на 1 и 2 поездки);Общее количество БПА;Ремонт эскалаторов;global_id;Геоданные
326;Китай-город, вход-выход 3 в северный вестибюль;37.6309849;55.7567672;Китай-город;Калужско-Рижская линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:44:00, по 2 пути в 05:49:05; последний поезд по 1 пути в 01:35:10, по 2 пути в 01:26:20";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:43:10, по 2 пути в 05:49:50; последний поезд по 1 пути в 01:35:10, по 2 пути в 01:26:20";;4;4;21.02.2017-20.04.2017;1773538;{type=Point, coordinates=[37.6309849303028, 55.7567668315718]}
331;Китай-город, вход-выход 8 в северный вестибюль;37.6316766;55.7573154;Китай-город;Калужско-Рижская линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:44:00, по 2 пути в 05:49:05; последний поезд по 1 пути в 01:35:10, по 2 пути в 01:26:20";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:43:10, по 2 пути в 05:49:50; последний поезд по 1 пути в 01:35:10, по 2 пути в 01:26:20";;4;4;21.02.2017-20.04.2017;1773539;{type=Point, coordinates=[37.631676630375, 55.7573150315859]}
327;Китай-город, вход-выход 4 в северный вестибюль;37.6312698;55.7568819;Китай-город;Калужско-Рижская линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:44:00, по 2 пути в 05:49:05; последний поезд по 1 пути в 01:35:10, по 2 пути в 01:26:20";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:43:10, по 2 пути в 05:49:00; последний поезд по 1 пути в 01:35:10, по 2 пути в 01:26:20";;4;4;21.02.2017-20.04.2017;1773540;{type=Point, coordinates=[37.6312698300959, 55.7568815318137]}
330;Китай-город, вход-выход 7 в северный вестибюль;37.6319506;55.7572362;Китай-город;Калужско-Рижская линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:44:00, по 2 пути в 05:49:05; последний поезд по 1 пути в 01:35:10, по 2 пути в 01:26:20";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:43:10, по 2 пути в 05:49:00; последний поезд по 1 пути в 01:35:10, по 2 пути в 01:26:20";;4;4;21.02.2017-20.04.2017;1773541;{type=Point, coordinates=[37.6319506300101, 55.7572358316588]}
322;Китай-город, вход-выход 6 в южный вестибюль;37.6331045;55.7531976;Китай-город;Калужско-Рижская линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:44:00, по 2 пути в 05:49:05; последний поезд по 1 пути в 01:35:10, по 2 пути в 01:26:20";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:43:10, по 2 пути в 05:49:00; последний поезд по 1 пути в 01:35:10, по 2 пути в 01:26:20";;4;4;21.02.2017-20.04.2017;1773542;{type=Point, coordinates=[37.6331045303539, 55.7531972314821]}
321;Китай-город, вход-выход 5 в южный вестибюль;37.6336406;55.7531116;Китай-город;Калужско-Рижская линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:44:00, по 2 пути в 05:49:05; последний поезд по 1 пути в 01:35:10, по 2 пути в 01:26:20";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:43:10, по 2 пути в 05:49:00; последний поезд по 1 пути в 01:35:10, по 2 пути в 01:26:20";;4;4;21.02.2017-20.04.2017;1773543;{type=Point, coordinates=[37.6336406305401, 55.7531112318237]}
317;Китай-город, вход-выход 1 из южного вестибюля;37.6341765;55.7541345;Китай-город;Калужско-Рижская линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:44:00, по 2 пути в 05:49:05; последний поезд по 1 пути в 01:35:10, по 2 пути в 01:26:20";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:43:10, по 2 пути в 05:49:00; последний поезд по 1 пути в 01:35:10, по 2 пути в 01:26:20";;;;21.02.2017-20.04.2017;1773544;{type=Point, coordinates=[37.6341765304041, 55.7541341314699]}
318;Китай-город, вход-выход 2 в южный вестибюль;37.6349733;55.7540238;Китай-город;Калужско-Рижская линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:44:00, по 2 пути в 05:49:05; последний поезд по 1 пути в 01:35:10, по 2 пути в 01:26:20";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:43:10, по 2 пути в 05:49:00; последний поезд по 1 пути в 01:35:10, по 2 пути в 01:26:20";;4;4;21.02.2017-20.04.2017;1773545;{type=Point, coordinates=[37.634973330668, 55.7540234314485]}
325;Китай-город, вход-выход 2 в северный вестибюль;37.6296491;55.756604;Китай-город;Калужско-Рижская линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:44:00, по 2 пути в 05:49:05; последний поезд по 1 пути в 01:35:10, по 2 пути в 01:26:20";"открытие в 05:35:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:44:10, по 2 пути в 05:49:00; последний поезд по 1 пути в 01:35:10, по 2 пути в 01:26:20";;4;4;21.02.2017-20.04.2017;1773546;{type=Point, coordinates=[37.6296491300903, 55.75660363172]}
280;Калужская, вход-выход 6 в южный вестибюль;37.5392381;55.6553856;Калужская;Калужско-Рижская линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:51:05, по 2 пути в 05:41:30; последний поезд по 1 пути в 01:15:00, по 2 пути в 01:47:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:02:25, по 2 пути в 05:51:40; последний поезд по 1 пути в 01:15:25, по 2 пути в 01:46:10";;4;4;;1773547;{type=Point, coordinates=[37.5392381307059, 55.6553852312169]}
447;Братиславская, вход-выход 2 в северный вестибюль;37.7526435;55.660114;Братиславская;Люблинско-Дмитровская линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:59:50, по 2 пути в 05:47:55; последний поезд по 1 пути в 01:47:25, по 2 пути в 01:12:50";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:57:10, по 2 пути в 05:43:00; последний поезд по 1 пути в 01:47:30, по 2 пути в 01:12:50";;2;2;;1773548;{type=Point, coordinates=[37.7526435303563, 55.6601136309302]}
446;Братиславская, вход-выход 1 в северный вестибюль;37.7517426;55.6600507;Братиславская;Люблинско-Дмитровская линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:59:50, по 2 пути в 05:47:55; последний поезд по 1 пути в 01:47:25, по 2 пути в 01:12:50";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:57:10, по 2 пути в 05:43:00; последний поезд по 1 пути в 01:47:30, по 2 пути в 01:12:50";;2;2;;1773549;{type=Point, coordinates=[37.7517426306198, 55.6600503308774]}
91;Бульвар адмирала Ушакова, вход-выход в вестибюль;37.5416454;55.5450107;Бульвар адмирала Ушакова;Бутовская линия Лёгкого метро;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:02:10, по 2 пути в 05:48:50; последний поезд по 1 пути в 01:32:30, по 2 пути в 01:18:55";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:02:10, по 2 пути в 05:48:50; последний поезд по 1 пути в 01:38:55, по 2 пути в 01:24:05";;2;2;;1773550;{type=Point, coordinates=[37.5416454303739, 55.5450103305023]}
502;Бульвар Дмитрия Донского, вход-выход 4 в северный вестибюль;37.5764394;55.5702548;Бульвар Дмитрия Донского;Серпуховско-Тимирязевская линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:43:00; последний поезд по 1 пути в 01:03:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:03:15; последний поезд по 1 пути в 01:03:00";;6;6;;1773551;{type=Point, coordinates=[37.5764394300006, 55.5702544302951]}
501;Бульвар Дмитрия Донского, вход-выход 3 в северный вестибюль;37.5771475;55.5700929;Бульвар Дмитрия Донского;Серпуховско-Тимирязевская линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:43:00; последний поезд по 1 пути в 01:03:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:03:15; последний поезд по 1 пути в 01:03:00";;6;6;;1773552;{type=Point, coordinates=[37.577147530614, 55.5700925307272]}
89;Бунинская аллея, вход-выход в вестибюль;37.5149399;55.5376805;Бунинская аллея;Бутовская линия Лёгкого метро;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:57:00; последний поезд по 1 пути в 01:03:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:57:00; последний поезд по 1 пути в 01:03:00";;3;3;;1773553;{type=Point, coordinates=[37.5149399300281, 55.5376801301589]}
383;Варшавская, вход-выход 2 в южный вестибюль;37.61792;55.653075;Варшавская;Каховская линия;"открытие в 05:25:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:33:10, по 2 пути в 05:56:50; последний поезд по 1 пути в 01:05:20, по 2 пути в 01:06:10";"открытие в 05:25:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:33:10, по 2 пути в 05:53:20; последний поезд по 1 пути в 01:05:20, по 2 пути в 01:06:10";;3;3;;1773554;{type=Point, coordinates=[37.6179200302954, 55.6530746309521]}
384;Варшавская, вход-выход 1 в северный вестибюль;37.6207903;55.6532132;Варшавская;Каховская линия;"открытие в 05:25:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:33:10, по 2 пути в 05:56:50; последний поезд по 1 пути в 01:05:20, по 2 пути в 01:06:10";"открытие в 05:25:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:33:10, по 2 пути в 05:53:20; последний поезд по 1 пути в 01:05:20, по 2 пути в 01:06:10";;4;4;;1773555;{type=Point, coordinates=[37.6207903299765, 55.6532128310318]}
277;Калужская, вход-выход 3 в южный вестибюль;37.5402196;55.6563232;Калужская;Калужско-Рижская линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:51:05, по 2 пути в 05:41:30; последний поезд по 1 пути в 01:15:00, по 2 пути в 01:47:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:05:55, по 2 пути в 05:54:35; последний поезд по 1 пути в 01:15:00, по 2 пути в 01:47:00";;4;4;;1773556;{type=Point, coordinates=[37.5402196299777, 55.6563228311177]}
281;Калужская, вход-выход 1 в северный вестибюль;37.5409869;55.6581538;Калужская;Калужско-Рижская линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:51:05, по 2 пути в 05:41:30; последний поезд по 1 пути в 01:15:00, по 2 пути в 01:47:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:05:55, по 2 пути в 05:54:35; последний поезд по 1 пути в 01:15:00, по 2 пути в 01:47:00";;3;3;;1773557;{type=Point, coordinates=[37.5409869304654, 55.6581534310189]}
151;Кантемировская, вход-выход 1 в южный вестибюль;37.6571455;55.6346647;Кантемировская;Замоскворецкая линия;"открытие в 05:35:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:46:25, по 2 пути в 05:57:15; последний поезд по 1 пути в 01:19:00, по 2 пути в 01:16:10";"открытие в 05:35:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:46:30, по 2 пути в 05:57:15; последний поезд по 1 пути в 01:19:00, по 2 пути в 01:47:25";;3;3;;1773558;{type=Point, coordinates=[37.657145530251, 55.6346643310074]}
152;Кантемировская, вход-выход 2 в южный вестибюль;37.6576959;55.6350525;Кантемировская;Замоскворецкая линия;"открытие в 05:35:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:46:25, по 2 пути в 05:57:15; последний поезд по 1 пути в 01:19:00, по 2 пути в 01:16:10";"открытие в 05:35:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:46:30, по 2 пути в 05:57:15; последний поезд по 1 пути в 01:19:00, по 2 пути в 01:47:25";;3;3;;1773559;{type=Point, coordinates=[37.657695929821, 55.6350521306165]}
149;Кантемировская, вход-выход 2 в северный вестибюль;37.6553567;55.6367212;Кантемировская;Замоскворецкая линия;"открытие в 05:35:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:46:25, по 2 пути в 05:57:15; последний поезд по 1 пути в 01:19:00, по 2 пути в 01:16:10";"открытие в 05:35:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:46:35, по 2 пути в 05:55:00; последний поезд по 1 пути в 01:19:10, по 2 пути в 01:45:45";;3;3;;1773560;{type=Point, coordinates=[37.6553567303069, 55.6367208311018]}
377;Каховская, вход-выход 4 в южный вестибюль;37.5964667;55.6528887;Каховская;Каховская линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:43:20, по 2 пути в 05:58:50; последний поезд по 1 пути в 01:03:00, по 2 пути в 01:08:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:53:30, по 2 пути в 05:55:20; последний поезд по 1 пути в 01:03:00, по 2 пути в 01:08:00";;5;5;;1773561;{type=Point, coordinates=[37.5964667306559, 55.6528883308593]}
284;Калужская, вход-выход 4 в северный вестибюль;37.5418665;55.6578591;Калужская;Калужско-Рижская линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:51:05, по 2 пути в 05:41:30; последний поезд по 1 пути в 01:15:00, по 2 пути в 01:47:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:05:55, по 2 пути в 05:54:35; последний поезд по 1 пути в 01:15:00, по 2 пути в 01:47:00";;3;3;;1773562;{type=Point, coordinates=[37.5418665302398, 55.657858730828]}
150;Кантемировская, вход-выход 3 в северный вестибюль;37.656097;55.636917;Кантемировская;Замоскворецкая линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:46:25, по 2 пути в 05:57:15; последний поезд по 1 пути в 01:19:00, по 2 пути в 01:16:10";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:46:30, по 2 пути в 05:57:15; последний поезд по 1 пути в 01:19:00, по 2 пути в 01:47:25";;3;3;;1773563;{type=Point, coordinates=[37.6560970301337, 55.6369166309775]}
448;Братиславская, вход-выход 3 в северный вестибюль;37.7521499;55.6599107;Братиславская;Люблинско-Дмитровская линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:59:50, по 2 пути в 05:51:00; последний поезд по 1 пути в 01:37:25, по 2 пути в 01:12:50";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:58:50, по 2 пути в 05:44:20; последний поезд по 1 пути в 01:37:30, по 2 пути в 01:12:50";;2;2;;1773564;{type=Point, coordinates=[37.7521499303622, 55.6599103311623]}
791;Беговая, вход-выход 2 во 2-й вестибюль;37.54459;55.7733859;Беговая;Таганско-Краснопресненская линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:00:50, по 2 пути в 06:07:25; последний поезд по 1 пути в 01:22:00, по 2 пути в 01:44:05";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:00:50, по 2 пути в 06:05:10; последний поезд по 1 пути в 01:22:00, по 2 пути в 01:44:05";;4;4;;1773565;{type=Point, coordinates=[37.5445900301399, 55.7733855316209]}
790;Беговая, вход-выход 1 во 2-й вестибюль;37.5446657;55.774;Беговая;Таганско-Краснопресненская линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:00:50, по 2 пути в 06:07:25; последний поезд по 1 пути в 01:22:00, по 2 пути в 01:44:05";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:00:50, по 2 пути в 06:05:10; последний поезд по 1 пути в 01:22:00, по 2 пути в 01:44:05";;4;4;;1773566;{type=Point, coordinates=[37.5446657302709, 55.7739996317327]}
792;Беговая, вход-выход 1 в 1-й вестибюль;37.5488844;55.7732229;Беговая;Таганско-Краснопресненская линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:00:50, по 2 пути в 06:07:25; последний поезд по 1 пути в 01:22:00, по 2 пути в 01:44:05";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:00:50, по 2 пути в 06:05:10; последний поезд по 1 пути в 01:22:00, по 2 пути в 01:44:05";;2;2;;1773567;{type=Point, coordinates=[37.5488844308013, 55.7732225316732]}
794;Беговая, вход-выход 3 в 1-й вестибюль;37.549137;55.774375;Беговая;Таганско-Краснопресненская линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:00:50, по 2 пути в 06:07:25; последний поезд по 1 пути в 01:22:00, по 2 пути в 01:44:05";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:00:50, по 2 пути в 06:05:10; последний поезд по 1 пути в 01:22:00, по 2 пути в 01:44:05";;2;2;;1773568;{type=Point, coordinates=[37.5491370307705, 55.774374631689]}
394;Белорусская, вход в западный вестибюль;37.5826448;55.7753945;Белорусская;Кольцевая линия;"открытие в 05:25:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:34:15, по 2 пути в 05:52:45; последний поезд по 1 пути в 01:20:45, по 2 пути в 01:40:05";"открытие в 05:25:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:33:20, по 2 пути в 05:54:00; последний поезд по 1 пути в 01:27:30, по 2 пути в 01:22:15";;7;7;18.01.2017-10.03.2017;1773569;{type=Point, coordinates=[37.5826448306792, 55.7753941316186]}
129;Белорусская, вход в вестибюль;37.5820187;55.7772182;Белорусская;Замоскворецкая линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:55:35, по 2 пути в 05:36:30; последний поезд по 1 пути в 01:46:20, по 2 пути в 01:43:50";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:55:35, по 2 пути в 05:36:30; последний поезд по 1 пути в 01:46:20, по 2 пути в 01:19:15";;7;7;;1773570;{type=Point, coordinates=[37.5820187309835, 55.7772178319707]}
396;Белорусская, вход-выход 1 в восточный (новый) вестибюль;37.585696;55.777448;Белорусская;Кольцевая линия;"открытие в 05:25:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:34:15, по 2 пути в 05:52:45; последний поезд по 1 пути в 01:20:45, по 2 пути в 01:40:05";"открытие в 05:25:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:33:20, по 2 пути в 05:54:00; последний поезд по 1 пути в 01:27:30, по 2 пути в 01:22:15";;7;7;;1773571;{type=Point, coordinates=[37.585696030399, 55.7774476316824]}
267;Беляево, вход-выход 1 в южный вестибюль;37.5253262;55.6418619;Беляево;Калужско-Рижская линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:47:50, по 2 пути в 05:44:00; последний поезд по 1 пути в 01:12:00, по 2 пути в 01:50:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:09:30, по 2 пути в 05:57:35; последний поезд по 1 пути в 01:12:00, по 2 пути в 01:50:00";;4;4;;1773572;{type=Point, coordinates=[37.5253262297487, 55.6418615311029]}
269;Беляево, вход-выход 3 в южный вестибюль;37.5258676;55.6415467;Беляево;Калужско-Рижская линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:47:50, по 2 пути в 05:44:00; последний поезд по 1 пути в 01:12:00, по 2 пути в 01:50:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:09:30, по 2 пути в 05:57:35; последний поезд по 1 пути в 01:12:00, по 2 пути в 01:50:00";;4;4;;1773573;{type=Point, coordinates=[37.5258676299841, 55.6415463311971]}
271;Беляево, вход-выход 1 в северный вестибюль;37.5267264;55.643846;Беляево;Калужско-Рижская линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:47:50, по 2 пути в 05:44:00; последний поезд по 1 пути в 01:12:00, по 2 пути в 01:50:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:09:30, по 2 пути в 05:57:35; последний поезд по 1 пути в 01:12:00, по 2 пути в 01:50:00";;5;5;;1773574;{type=Point, coordinates=[37.5267264301594, 55.6438456309261]}
142;Каширская, вход в южный вестибюль;37.6478561;55.6544846;Каширская;Замоскворецкая линия;"открытие в 05:25:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:36:25, по 2 пути в 05:53:30; последний поезд по 1 пути в 01:08:00, по 2 пути в 01:03:00";"открытие в 05:25:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:36:25, по 2 пути в 05:50:00; последний поезд по 1 пути в 01:08:00, по 2 пути в 01:03:00";;4;4;;1773575;{type=Point, coordinates=[37.6478561301185, 55.6544842311383]}
145;Каширская, вход в северный вестибюль;37.649519;55.655628;Каширская;Замоскворецкая линия;"открытие в 05:25:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:36:25, по 2 пути в 05:53:30; последний поезд по 1 пути в 01:08:00, по 2 пути в 01:03:00";"открытие в 05:25:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:36:25, по 2 пути в 05:50:00; последний поезд по 1 пути в 01:08:00, по 2 пути в 01:03:00";;4;4;22.04.2016-26.05.2016;1773576;{type=Point, coordinates=[37.6495190302833, 55.6556276311356]}
57;Киевская, выход 1 из вестибюля к пригородным поездам;37.564427;55.742922;Киевская;Арбатско-Покровская линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:46:10, по 2 пути в 05:52:40; последний поезд по 1 пути в 01:32:00, по 2 пути в 01:37:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:43:40, по 2 пути в 05:40:05; последний поезд по 1 пути в 01:32:00, по 2 пути в 01:37:00";;;;17.01.2017-07.03.2017;1773577;{type=Point, coordinates=[37.5644270304244, 55.7429216316249]}
59;Киевская, выход 2 из вестибюля на площадь;37.565065;55.743152;Киевская;Арбатско-Покровская линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:46:10, по 2 пути в 05:52:40; последний поезд по 1 пути в 01:32:00, по 2 пути в 01:37:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:43:40, по 2 пути в 05:40:05; последний поезд по 1 пути в 01:32:00, по 2 пути в 01:37:00";;;;17.01.2017-07.03.2017;1773578;{type=Point, coordinates=[37.5650650305401, 55.743151631506]}
400;Киевская, вход-выход 1 в вестибюль;37.567119;55.743792;Киевская;Кольцевая линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:56:00, по 2 пути в 05:51:20; последний поезд по 1 пути в 01:38:48, по 2 пути в 01:15:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:50:10, по 2 пути в 05:45:50; последний поезд по 1 пути в 01:27:30, по 2 пути в 01:22:00";;5;5;11.07.2016-08.09.2016;1773579;{type=Point, coordinates=[37.5671190311256, 55.7437916318028]}
401;Киевская, вход-выход 2 в вестибюль;37.56757;55.743743;Киевская;Кольцевая линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:56:00, по 2 пути в 05:51:20; последний поезд по 1 пути в 01:38:48, по 2 пути в 01:15:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:50:10, по 2 пути в 05:45:50; последний поезд по 1 пути в 01:27:30, по 2 пути в 01:22:00";;5;5;11.07.2016-08.09.2016;1773580;{type=Point, coordinates=[37.5675700303121, 55.7437426316126]}
324;Китай-город, вход-выход 1 в северный вестибюль;37.6301157;55.7562297;Китай-город;Калужско-Рижская линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:44:00, по 2 пути в 05:49:05; последний поезд по 1 пути в 01:35:10, по 2 пути в 01:26:20";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:43:10, по 2 пути в 05:49:50; последний поезд по 1 пути в 01:35:10, по 2 пути в 01:26:20";;4;4;21.02.2017-20.04.2017;1773581;{type=Point, coordinates=[37.6301157303178, 55.7562293317657]}
328;Китай-город, вход-выход 5 в северный вестибюль;37.6306312;55.7569941;Китай-город;Калужско-Рижская линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:44:00, по 2 пути в 05:49:05; последний поезд по 1 пути в 01:35:10, по 2 пути в 01:26:20";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:43:10, по 2 пути в 05:49:50; последний поезд по 1 пути в 01:35:10, по 2 пути в 01:26:20";;4;4;21.02.2017-20.04.2017;1773582;{type=Point, coordinates=[37.6306312303396, 55.756993731587]}
279;Калужская, вход-выход 5 в южный вестибюль;37.5384065;55.6556897;Калужская;Калужско-Рижская линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:51:05, по 2 пути в 05:41:30; последний поезд по 1 пути в 01:15:00, по 2 пути в 01:47:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:05:55, по 2 пути в 05:54:35; последний поезд по 1 пути в 01:15:00, по 2 пути в 01:47:00";;4;4;;1773583;{type=Point, coordinates=[37.5384065306116, 55.6556893308573]}
275;Калужская, вход-выход 1 в южный вестибюль;37.5393716;55.6565991;Калужская;Калужско-Рижская линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:51:05, по 2 пути в 05:41:30; последний поезд по 1 пути в 01:15:00, по 2 пути в 01:47:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:05:55, по 2 пути в 05:54:35; последний поезд по 1 пути в 01:15:00, по 2 пути в 01:47:00";;4;4;;1773584;{type=Point, coordinates=[37.5393716302397, 55.6565987309773]}
376;Каховская, вход-выход 3 в южный вестибюль;37.5969816;55.6530037;Каховская;Каховская линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:43:20, по 2 пути в 05:58:50; последний поезд по 1 пути в 01:03:00, по 2 пути в 01:08:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:53:30, по 2 пути в 05:55:20; последний поезд по 1 пути в 01:03:00, по 2 пути в 01:08:00";;5;5;;1773585;{type=Point, coordinates=[37.5969816306022, 55.6530033308363]}
375;Каховская, вход-выход 2 в южный вестибюль;37.5967073;55.6524548;Каховская;Каховская линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:43:20, по 2 пути в 05:58:50; последний поезд по 1 пути в 01:03:00, по 2 пути в 01:08:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:53:30, по 2 пути в 05:55:20; последний поезд по 1 пути в 01:03:00, по 2 пути в 01:08:00";;5;5;;1773586;{type=Point, coordinates=[37.59670733003, 55.6524544308386]}
374;Каховская, вход-выход 1 в южный вестибюль;37.597159;55.6525546;Каховская;Каховская линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:43:20, по 2 пути в 05:58:50; последний поезд по 1 пути в 01:03:00, по 2 пути в 01:08:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:53:30, по 2 пути в 05:55:20; последний поезд по 1 пути в 01:03:00, по 2 пути в 01:08:00";;5;5;;1773587;{type=Point, coordinates=[37.5971590308013, 55.6525542309956]}
