Локальный идентификатор;Наименование;Долгота в WGS-84;Широта в WGS-84;Станция метрополитена;Линия;Режим работы по чётным дням;Режим работы по нечётным дням;Количество полнофункциональных БПА (все типы билетов);Количество малофункциональных БПА (билеты на 1 и 2 поездки);Общее количество БПА;Ремонт эскалаторов;global_id;Геоданные
415;Курская, вход-выход 1 в вестибюль с Курского вокзала;37.660164;55.757855;Курская;Кольцевая линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:45:40, по 2 пути в 05:40:50; последний поезд по 1 пути в 01:31:20, по 2 пути в 01:29:30";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:47:05, по 2 пути в 05:51:45; последний поезд по 1 пути в 01:38:05, по 2 пути в 01:35:45";;6;6;;1773763;{type=Point, coordinates=[37.6601640310734, 55.7578546318195]}
418;Курская, вход 1 в вестибюль;37.6599122;55.7561757;Курская;Кольцевая линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:45:40, по 2 пути в 05:40:50; последний поезд по 1 пути в 01:31:20, по 2 пути в 01:29:30";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:47:05, по 2 пути в 05:51:45; последний поезд по 1 пути в 01:38:05, по 2 пути в 01:35:40";;9;9;;1773764;{type=Point, coordinates=[37.6599122306011, 55.7561753316402]}
843;Кутузовская, вход-выход в южный вестибюль;37.5347739;55.7394196;Кутузовская;Филёвская линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:47:45, по 2 пути в 05:42:35; последний поезд по 1 пути в 01:13:50, по 2 пути в 01:14:45";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:47:45, по 2 пути в 05:40:20; последний поезд по 1 пути в 01:13:50, по 2 пути в 01:14:45";;2;2;;1773765;{type=Point, coordinates=[37.5347739306567, 55.7394192315857]}
844;Кутузовская, вход-выход в северный вестибюль;37.534101;55.7405718;Кутузовская;Филёвская линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:47:45, по 2 пути в 05:42:35; последний поезд по 1 пути в 01:13:50, по 2 пути в 01:14:45";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:47:45, по 2 пути в 05:40:20; последний поезд по 1 пути в 01:13:50, по 2 пути в 01:14:45";;3;3;;1773766;{type=Point, coordinates=[37.5341010305344, 55.7405714314415]}
308;Ленинский проспект, вход в южный вестибюль;37.5850864;55.7068188;Ленинский проспект;Калужско-Рижская линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:42:45, по 2 пути в 06:00:40; последний поезд по 1 пути в 01:25:10, по 2 пути в 01:38:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:43:15, по 2 пути в 06:01:25; последний поезд по 1 пути в 01:25:10, по 2 пути в 01:38:00";;3;3;19.01.2016-02.03.2016;1773767;{type=Point, coordinates=[37.5850864308133, 55.7068184311361]}
439;Марьино, вход-выход 1 в северный вестибюль;37.743045;55.651236;Марьино;Люблинско-Дмитровская линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:57:00, по 2 пути в 05:51:10; последний поезд по 1 пути в 01:49:30, по 2 пути в 01:10:30";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:54:55, по 2 пути в 05:40:50; последний поезд по 1 пути в 01:40:00, по 2 пути в 01:10:30";;5;5;;1773768;{type=Point, coordinates=[37.7430450306381, 55.6512356310678]}
442;Марьино, вход-выход 4 в северный вестибюль;37.7431633;55.6509113;Марьино;Люблинско-Дмитровская линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:57:00, по 2 пути в 05:51:10; последний поезд по 1 пути в 01:49:30, по 2 пути в 01:10:30";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:54:55, по 2 пути в 05:40:50; последний поезд по 1 пути в 01:40:00, по 2 пути в 01:10:30";;5;5;;1773769;{type=Point, coordinates=[37.7431633306755, 55.6509109310081]}
131;Маяковская, вход в северный вестибюль;37.594548;55.771143;Маяковская;Замоскворецкая линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:53:25, по 2 пути в 05:38:25; последний поезд по 1 пути в 01:44:15, по 2 пути в 01:40:30";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:53:25, по 2 пути в 05:38:25; последний поезд по 1 пути в 01:44:15, по 2 пути в 01:21:05";;2;2;;1773770;{type=Point, coordinates=[37.594548030958, 55.771142631777]}
134;Маяковская, вход-выход 2 в южный вестибюль;37.596533;55.76926;Маяковская;Замоскворецкая линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:53:25, по 2 пути в 05:38:25; последний поезд по 1 пути в 01:44:15, по 2 пути в 01:40:30";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:53:25, по 2 пути в 05:38:25; последний поезд по 1 пути в 01:44:15, по 2 пути в 01:21:05";;4;4;25.03.2016-29.04.2016;1773771;{type=Point, coordinates=[37.5965330310434, 55.7692596316063]}
553;Нагорная, вход-выход 2 в вестибюль;37.6110945;55.6728519;Нагорная;Серпуховско-Тимирязевская линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:37:25, по 2 пути в 06:02:40; последний поезд по 1 пути в 01:20:40, по 2 пути в 01:43:25";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:37:25, по 2 пути в 06:02:20; последний поезд по 1 пути в 01:20:40, по 2 пути в 01:43:25";;4;4;;1773772;{type=Point, coordinates=[37.611094530217, 55.6728515311297]}
